file	class	callee_renderings_lost	wholly_vanished_callees	removed_lines	added_lines	candidate_marker	ir_reference_only_instructions	lost_edge_effects	vanished_callee_names	lost_rendering_detail
02859_sub_8f4e40.dartpseudo	vanished_behind_indirect_branch	8	2	68	20	indirect_branch_only	0	disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:2	sub_66eb9c;sub_8f50ac	sub_66eb9c:4;sub_8f50ac:4
02877_sub_8fa5dc.dartpseudo	fewer_renderings_same_callees	12	0	127	29	trap_only	2			sel1814:3;sel64036:6;sub_d4fca4:3
02908_sub_903560.dartpseudo	fewer_renderings_same_callees	2	0	74	28	trap_only	2			sub_6155d8:1;sub_d4fcf4:1
02922_sub_9082e4.dartpseudo	fewer_renderings_same_callees	9	0	122	24	trap_only	2			sel1814:3;sel64036:6
02953_sub_90bc50.dartpseudo	fewer_renderings_same_callees	3	0	126	39	trap_only	2			sub_d4fcf4:1;sub_d50e6c:2
02965_sub_90dc84.dartpseudo	fewer_renderings_same_callees	24	0	166	50	trap_only	2			sel180:20;sub_d4fcf4:4
02971_sub_90eae4.dartpseudo	fewer_renderings_same_callees	10	0	409	594	none	0			sel212:10
03058_sub_91e454.dartpseudo	fewer_renderings_same_callees	5	0	74	53	trap_only	2			sel0:1;sub_60971c:1;sub_d4fcf4:1;sub_d4fd18:1;sub_d51b44:1
03088_sub_9242ac.dartpseudo	fewer_renderings_same_callees	2	0	133	17463	trap_only	6			sub_60971c:1;sub_d4fcf4:1
03089_sub_92567c.dartpseudo	fewer_renderings_same_callees	2	0	26	40	trap_only	0			sub_6c1858:2
03100_sub_926ab8.dartpseudo	vanished_behind_trap	3	3	18	13	trap_only	0	disposition_RetainedUnreachable:3;lost_edge_after_Trap:3	sub_6c0c60;sub_91b3d4;sub_92411c	sub_6c0c60:1;sub_91b3d4:1;sub_92411c:1
03123_sub_93699c.dartpseudo	vanished_behind_trap	2	2	48	12	trap_only	0	disposition_RetainedUnreachable:2;lost_edge_after_Trap:2	sub_d50a6c;sub_d51b44	sub_d50a6c:1;sub_d51b44:1
03131_sub_939a5c.dartpseudo	fewer_renderings_same_callees	34	0	318	46	trap_only	2			sub_939c5c:10;sub_d50264:11;sub_d502c4:13
03162_sub_945384.dartpseudo	fewer_renderings_same_callees	1	0	66	52	trap_only	2			sub_d4fcf4:1
03170_sub_9459d0.dartpseudo	fewer_renderings_same_callees	167	0	811	70	trap_only	2			sel0:1;sel942:54;sub_60963c:16;sub_60d5b4:1;sub_6471e4:38;sub_940f1c:1;sub_d4fcf4:3;sub_d50284:1;sub_d502a4:52
03177_sub_9480b8.dartpseudo	fewer_renderings_same_callees	6	0	132	41	trap_only	4			sub_940ffc:1;sub_d4fcf4:2;sub_d50e6c:3
03271_sub_96fe90.dartpseudo	fewer_renderings_same_callees	5	0	100	86	trap_only	2			sub_6c4288:1;sub_7cefd8:1;sub_9038dc:1;sub_d4fcf4:1;sub_d50e6c:1
03272_sub_970278.dartpseudo	fewer_renderings_same_callees	2	0	36	32	trap_only	2			sub_970278:2
03275_sub_9717d8.dartpseudo	fewer_renderings_same_callees	6	0	60	33	trap_only	2			sel25767:2;sub_6c0248:2;sub_d4fca4:2
03362_sub_97fefc.dartpseudo	fewer_renderings_same_callees	8	0	212	237	none	0			sel5728:2;sel81879:2;sub_d50e6c:4
03365_sub_980c50.dartpseudo	fewer_renderings_same_callees	16	0	206	199	none	0			sel5728:4;sel81879:4;sub_d50e6c:8
03493_sub_998b24.dartpseudo	fewer_renderings_same_callees	7	0	121	104	trap_only	2			fn_0x998fb4:1;sub_60b138:1;sub_7d3514:1;sub_7d62f4:3;sub_d4fcf4:1
03508_sub_99b980.dartpseudo	fewer_renderings_same_callees	2	0	34	26	trap_only	2			sel63328:2
03555_sub_9a9f54.dartpseudo	fewer_renderings_same_callees	2	0	49	44	trap_only	2			sub_ae28f0:2
03741_sub_9ca028.dartpseudo	fewer_renderings_same_callees	72	0	719	685	trap_only	2			fn_0x9ca2a0:18;fn_0x9ca2ac:18;fn_0x9ca2d8:18;sel5109:18
03859_sub_9e436c.dartpseudo	vanished_behind_indirect_branch	584	30	1968	13	indirect_branch_only	0	dispatch_selector_rendering:13;disposition_RetainedUnreachable:149;lost_edge_after_IndirectBranch:149	sel61193;sel65395;sel66823;sel72147;sel89354;sel90969;sel91022;sel92887;sel94965;sel95018;sel95071;sel95124;sel95442;sub_60d5b4;sub_61341c;sub_6155d8;sub_65b060;sub_65d3e4;sub_8307d8;sub_8368f4;sub_9148f0;sub_9157fc;sub_9a9864;sub_9e9774;sub_d4fb90;sub_d50284;sub_d50a6c;sub_d50aa8;sub_d50e6c;sub_d51b44	sel61193:82;sel65395:8;sel66823:8;sel72147:74;sel89354:8;sel90969:14;sel91022:8;sel92887:14;sel94965:8;sel95018:8;sel95071:8;sel95124:4;sel95442:24;sub_60d5b4:14;sub_61341c:14;sub_6155d8:8;sub_65b060:24;sub_65d3e4:8;sub_8307d8:4;sub_8368f4:2;sub_9148f0:12;sub_9157fc:82;sub_9a9864:8;sub_9e9774:8;sub_d4fb90:4;sub_d50284:2;sub_d50a6c:24;sub_d50aa8:2;sub_d50e6c:76;sub_d51b44:24
03885_sub_9eff58.dartpseudo	vanished_behind_indirect_branch	16	4	120	4	indirect_branch_only	0	disposition_RetainedUnreachable:7;lost_edge_after_IndirectBranch:7	fn_0x9f35a8;sub_60d5b4;sub_d502a4;sub_d50aa8	fn_0x9f35a8:2;sub_60d5b4:8;sub_d502a4:4;sub_d50aa8:2
