run	case	phase	pairs	reference_median_nanos	reference_mad_nanos	candidate_median_nanos	candidate_mad_nanos	median_paired_delta	noise_mad_of_deltas	mde	clears_mde
aa-1	multi-exit/64/base	combined	15	31339273.0	309002.0	31432501.0	214964.0	+0.003277	0.009030	0.050000	no
aa-1	multi-exit/64/base	emission_exclusive	15	25659204.0	104746.0	25734195.0	109232.0	+0.003267	0.009722	0.050000	no
aa-1	multi-exit/64/base	ir	15	118475.0	1423.0	117121.0	1251.0	-0.007347	0.017123	0.051370	no
aa-1	multi-exit/64/base	serialization	15	5514374.0	160245.0	5522270.0	132841.0	+0.004751	0.018406	0.055218	no
aa-1	nested-loop/1024/base	cfg	15	40415360.0	247273.0	40265055.0	193058.0	-0.002269	0.012894	0.050000	no
aa-1	nested-loop/1024/base	combined	15	125358836.0	905572.0	125079802.0	833721.0	-0.000483	0.019032	0.057096	no
aa-1	nested-loop/1024/base	emission_exclusive	15	59175147.0	331796.0	59453963.0	310435.0	+0.002272	0.008497	0.050000	no
aa-1	nested-loop/1024/base	ir	15	5716427.0	101563.0	5684967.0	159884.0	-0.028721	0.030268	0.090804	no
aa-1	nested-loop/1024/base	serialization	15	19797592.0	411769.0	19487748.0	379758.0	-0.015567	0.026747	0.080242	no
aa-1	nested-loop/256/base	cfg	15	2281378.0	9737.0	2282950.0	14076.0	+0.001639	0.009833	0.050000	no
aa-1	nested-loop/256/base	combined	15	23013508.0	121358.0	23092641.0	106826.0	+0.007554	0.010676	0.050000	no
aa-1	nested-loop/256/base	emission_exclusive	15	15083171.0	94380.0	15119312.0	54474.0	-0.002533	0.009956	0.050000	no
aa-1	nested-loop/256/base	ir	15	623630.0	7163.0	621426.0	7805.0	+0.012589	0.016445	0.050000	no
aa-1	nested-loop/256/base	serialization	15	4940470.0	116669.0	4963272.0	113004.0	+0.016449	0.034490	0.103470	no
aa-1	nested-loop/64/base	cfg	15	182986.0	2014.0	182876.0	1122.0	-0.005211	0.015148	0.050000	no
aa-1	nested-loop/64/base	combined	15	5585308.0	27734.0	5613171.0	37690.0	+0.009096	0.011521	0.050000	no
aa-1	nested-loop/64/base	emission_exclusive	15	4011400.0	27923.0	4016690.0	14487.0	+0.007613	0.011527	0.050000	no
aa-1	nested-loop/64/base	ir	15	114908.0	2486.0	114477.0	1683.0	+0.002813	0.021909	0.065726	no
aa-1	nested-loop/64/base	serialization	15	1265174.0	18996.0	1283369.0	26129.0	+0.007324	0.026559	0.079677	no
aa-1	no-exit/1024/base	cfg	15	28126014.0	399640.0	27822398.0	126416.0	-0.000604	0.008626	0.050000	no
aa-1	no-exit/1024/base	combined	15	109499063.0	343047.0	109603252.0	1190548.0	+0.000669	0.010387	0.050000	no
aa-1	no-exit/1024/base	emission_exclusive	15	56640607.0	484669.0	56953077.0	536076.0	+0.003101	0.011506	0.050000	no
aa-1	no-exit/1024/base	ir	15	5737808.0	100740.0	5659731.0	87777.0	-0.003372	0.021479	0.064436	no
aa-1	no-exit/1024/base	serialization	15	19045280.0	338860.0	19122646.0	369278.0	-0.000025	0.021650	0.064951	no
aa-1	no-exit/256/base	cfg	15	1516170.0	9679.0	1509707.0	8516.0	-0.003913	0.008134	0.050000	no
aa-1	no-exit/256/base	combined	15	21035684.0	183752.0	21199308.0	115498.0	+0.003721	0.015264	0.050000	no
aa-1	no-exit/256/base	emission_exclusive	15	14113046.0	84579.0	14206053.0	68829.0	+0.006019	0.008467	0.050000	no
aa-1	no-exit/256/base	ir	15	627488.0	3386.0	625634.0	6433.0	+0.002279	0.010324	0.050000	no
aa-1	no-exit/256/base	serialization	15	4789693.0	143231.0	4800204.0	30427.0	+0.005807	0.026965	0.080895	no
aa-1	no-exit/64/base	cfg	15	121720.0	1553.0	121740.0	752.0	-0.006752	0.019842	0.059525	no
aa-1	no-exit/64/base	combined	15	5101734.0	37261.0	5122644.0	24647.0	+0.007355	0.007889	0.050000	no
aa-1	no-exit/64/base	emission_exclusive	15	3635781.0	28033.0	3660427.0	19828.0	+0.008606	0.006859	0.050000	no
aa-1	no-exit/64/base	ir	15	116380.0	2685.0	114076.0	1603.0	-0.000268	0.027108	0.081325	no
aa-1	no-exit/64/base	serialization	15	1206132.0	12643.0	1233544.0	11892.0	+0.018179	0.019369	0.058107	no
aa-2	diamond-chain/1024/base	cfg	15	20926054.0	249053.0	20933085.0	203614.0	+0.000978	0.012804	0.050000	no
aa-2	diamond-chain/1024/base	combined	15	132430168.0	1485649.0	132237545.0	514106.0	+0.003149	0.014445	0.050000	no
aa-2	diamond-chain/1024/base	emission_exclusive	15	83304442.0	975507.0	82939955.0	529565.0	-0.003997	0.018186	0.054558	no
aa-2	diamond-chain/1024/base	ir	15	5912727.0	131468.0	5989843.0	98857.0	+0.011966	0.020638	0.061914	no
aa-2	diamond-chain/1024/base	serialization	15	21478339.0	414184.0	22612055.0	194766.0	+0.032103	0.033985	0.101956	no
aa-2	diamond-chain/1024/heavy	cfg	15	20513262.0	201120.0	20495168.0	58110.0	-0.003594	0.017275	0.051824	no
aa-2	diamond-chain/1024/heavy	combined	15	342762162.0	2294401.0	341692996.0	2727023.0	-0.005994	0.010629	0.050000	no
aa-2	diamond-chain/1024/heavy	emission_exclusive	15	227453564.0	1663141.0	225732571.0	764090.0	-0.008848	0.012861	0.050000	no
aa-2	diamond-chain/1024/heavy	ir	15	24330063.0	96420.0	24441456.0	201443.0	-0.001048	0.014260	0.050000	no
aa-2	diamond-chain/1024/heavy	serialization	15	70296035.0	1611411.0	71981654.0	618322.0	+0.001349	0.025338	0.076015	no
aa-2	diamond-chain/1024/light	cfg	15	18501706.0	272966.0	18594402.0	388614.0	+0.020060	0.031108	0.093323	no
aa-2	diamond-chain/1024/light	combined	15	135848721.0	1509701.0	135581788.0	618998.0	-0.000439	0.007969	0.050000	no
aa-2	diamond-chain/1024/light	emission_exclusive	15	88391564.0	672468.0	88177447.0	468643.0	-0.002596	0.017078	0.051235	no
aa-2	diamond-chain/1024/light	ir	15	7003280.0	82227.0	7162170.0	112943.0	+0.019636	0.018122	0.054367	no
aa-2	diamond-chain/1024/light	serialization	15	21746285.0	543448.0	21963686.0	447927.0	+0.000374	0.019855	0.059565	no
aa-2	diamond-chain/256/base	cfg	15	1215219.0	4087.0	1219417.0	10930.0	+0.000695	0.016250	0.050000	no
aa-2	diamond-chain/256/base	combined	15	28236365.0	200379.0	28154298.0	235268.0	+0.003978	0.008151	0.050000	no
aa-2	diamond-chain/256/base	emission_exclusive	15	20717129.0	273315.0	20585329.0	132248.0	+0.000537	0.010014	0.050000	no
aa-2	diamond-chain/256/base	ir	15	638198.0	3246.0	639089.0	8536.0	-0.000378	0.013748	0.050000	no
aa-2	diamond-chain/256/base	serialization	15	5607569.0	132922.0	5620705.0	99869.0	+0.004067	0.025438	0.076315	no
aa-2	diamond-chain/256/heavy	cfg	15	1201594.0	9398.0	1210060.0	13836.0	+0.001560	0.012902	0.050000	no
aa-2	diamond-chain/256/heavy	combined	15	77379892.0	680499.0	77472670.0	336477.0	-0.005530	0.011943	0.050000	no
aa-2	diamond-chain/256/heavy	emission_exclusive	15	56661176.0	396649.0	56095468.0	273802.0	-0.004928	0.009856	0.050000	no
aa-2	diamond-chain/256/heavy	ir	15	2343684.0	21190.0	2342141.0	37511.0	+0.000713	0.016213	0.050000	no
aa-2	diamond-chain/256/heavy	serialization	15	17600621.0	289048.0	17415261.0	372135.0	-0.005092	0.028290	0.084869	no
